chunk_id,filename,source_doc,chunk_index,chars
GC001::c000,GC001_c000.md,GC001,0,332
GC001::c001,GC001_c001.md,GC001,1,365
GC001::c002,GC001_c002.md,GC001,2,390
GC001::c003,GC001_c003.md,GC001,3,351
GC001::c004,GC001_c004.md,GC001,4,321
GC001::c005,GC001_c005.md,GC001,5,244
GC002::c000,GC002_c000.md,GC002,0,352
GC002::c001,GC002_c001.md,GC002,1,375
GC002::c002,GC002_c002.md,GC002,2,342
GC002::c003,GC002_c003.md,GC002,3,335
GC002::c004,GC002_c004.md,GC002,4,385
GC002::c005,GC002_c005.md,GC002,5,200
GC003::c000,GC003_c000.md,GC003,0,369
GC003::c001,GC003_c001.md,GC003,1,359
GC003::c002,GC003_c002.md,GC003,2,315
GC003::c003,GC003_c003.md,GC003,3,394
GC003::c004,GC003_c004.md,GC003,4,263
GC004::c000,GC004_c000.md,GC004,0,263
GC004::c001,GC004_c001.md,GC004,1,368
GC004::c002,GC004_c002.md,GC004,2,336
GC004::c003,GC004_c003.md,GC004,3,385
GC004::c004,GC004_c004.md,GC004,4,335
GC004::c005,GC004_c005.md,GC004,5,342
GC004::c006,GC004_c006.md,GC004,6,398
GC004::c007,GC004_c007.md,GC004,7,345
GC004::c008,GC004_c008.md,GC004,8,382
GC004::c009,GC004_c009.md,GC004,9,361
GC004::c010,GC004_c010.md,GC004,10,184
GC004::c011,GC004_c011.md,GC004,11,374
GC005::c000,GC005_c000.md,GC005,0,370
GC005::c001,GC005_c001.md,GC005,1,358
GC005::c002,GC005_c002.md,GC005,2,338
GC005::c003,GC005_c003.md,GC005,3,321
GC005::c004,GC005_c004.md,GC005,4,396
GC005::c005,GC005_c005.md,GC005,5,376
GC006::c000,GC006_c000.md,GC006,0,364
GC006::c001,GC006_c001.md,GC006,1,393
GC006::c002,GC006_c002.md,GC006,2,351
GC006::c003,GC006_c003.md,GC006,3,380
GC006::c004,GC006_c004.md,GC006,4,267
GC006::c005,GC006_c005.md,GC006,5,240
GC007::c000,GC007_c000.md,GC007,0,282
GC007::c001,GC007_c001.md,GC007,1,393
GC007::c002,GC007_c002.md,GC007,2,231
GC007::c003,GC007_c003.md,GC007,3,387
GC007::c004,GC007_c004.md,GC007,4,66
GC008::c000,GC008_c000.md,GC008,0,372
GC008::c001,GC008_c001.md,GC008,1,362
GC008::c002,GC008_c002.md,GC008,2,340
GC008::c003,GC008_c003.md,GC008,3,398
GC008::c004,GC008_c004.md,GC008,4,345
GC008::c005,GC008_c005.md,GC008,5,213
GC009::c000,GC009_c000.md,GC009,0,350
GC009::c001,GC009_c001.md,GC009,1,389
GC009::c002,GC009_c002.md,GC009,2,186
GC009::c003,GC009_c003.md,GC009,3,338
GC009::c004,GC009_c004.md,GC009,4,314
GC009::c005,GC009_c005.md,GC009,5,340
GC009::c006,GC009_c006.md,GC009,6,294
GC009::c007,GC009_c007.md,GC009,7,287
GC009::c008,GC009_c008.md,GC009,8,366
GC010::c000,GC010_c000.md,GC010,0,398
GC010::c001,GC010_c001.md,GC010,1,364
GC010::c002,GC010_c002.md,GC010,2,379
GC010::c003,GC010_c003.md,GC010,3,369
GC010::c004,GC010_c004.md,GC010,4,393
GC010::c005,GC010_c005.md,GC010,5,90
GC011::c000,GC011_c000.md,GC011,0,285
GC011::c001,GC011_c001.md,GC011,1,365
GC011::c002,GC011_c002.md,GC011,2,354
GC012::c000,GC012_c000.md,GC012,0,386
GC012::c001,GC012_c001.md,GC012,1,376
GC012::c002,GC012_c002.md,GC012,2,268
GC013::c000,GC013_c000.md,GC013,0,387
GC013::c001,GC013_c001.md,GC013,1,399
GC013::c002,GC013_c002.md,GC013,2,352
GC013::c003,GC013_c003.md,GC013,3,382
GC013::c004,GC013_c004.md,GC013,4,221
GC014::c000,GC014_c000.md,GC014,0,357
GC014::c001,GC014_c001.md,GC014,1,351
GC014::c002,GC014_c002.md,GC014,2,336
GC014::c003,GC014_c003.md,GC014,3,390
GC014::c004,GC014_c004.md,GC014,4,365
GC014::c005,GC014_c005.md,GC014,5,392
GC014::c006,GC014_c006.md,GC014,6,382
GC014::c007,GC014_c007.md,GC014,7,383
GC014::c008,GC014_c008.md,GC014,8,342
GC014::c009,GC014_c009.md,GC014,9,397
GC014::c010,GC014_c010.md,GC014,10,371
GC014::c011,GC014_c011.md,GC014,11,390
GC014::c012,GC014_c012.md,GC014,12,195
GC015::c000,GC015_c000.md,GC015,0,387
GC015::c001,GC015_c001.md,GC015,1,327
GC015::c002,GC015_c002.md,GC015,2,356
GC015::c003,GC015_c003.md,GC015,3,90
GC016::c000,GC016_c000.md,GC016,0,394
GC016::c001,GC016_c001.md,GC016,1,362
GC016::c002,GC016_c002.md,GC016,2,398
GC016::c003,GC016_c003.md,GC016,3,340
GC016::c004,GC016_c004.md,GC016,4,318
GC016::c005,GC016_c005.md,GC016,5,349
GC016::c006,GC016_c006.md,GC016,6,399
GC016::c007,GC016_c007.md,GC016,7,281
GC016::c008,GC016_c008.md,GC016,8,386
GC016::c009,GC016_c009.md,GC016,9,217
GC016::c010,GC016_c010.md,GC016,10,198
GC017::c000,GC017_c000.md,GC017,0,362
GC017::c001,GC017_c001.md,GC017,1,248
GC017::c002,GC017_c002.md,GC017,2,356
GC017::c003,GC017_c003.md,GC017,3,230
GC017::c004,GC017_c004.md,GC017,4,388
GC017::c005,GC017_c005.md,GC017,5,381
GC017::c006,GC017_c006.md,GC017,6,347
GC017::c007,GC017_c007.md,GC017,7,320
GC017::c008,GC017_c008.md,GC017,8,357
GC017::c009,GC017_c009.md,GC017,9,352
GC017::c010,GC017_c010.md,GC017,10,82
GC018::c000,GC018_c000.md,GC018,0,272
GC018::c001,GC018_c001.md,GC018,1,298
GC018::c002,GC018_c002.md,GC018,2,281
GC018::c003,GC018_c003.md,GC018,3,375
GC018::c004,GC018_c004.md,GC018,4,312
GC018::c005,GC018_c005.md,GC018,5,337
GC019::c000,GC019_c000.md,GC019,0,331
GC019::c001,GC019_c001.md,GC019,1,316
GC019::c002,GC019_c002.md,GC019,2,278
GC019::c003,GC019_c003.md,GC019,3,332
GC019::c004,GC019_c004.md,GC019,4,208
GC019::c005,GC019_c005.md,GC019,5,371
GC019::c006,GC019_c006.md,GC019,6,244
GC020::c000,GC020_c000.md,GC020,0,394
GC020::c001,GC020_c001.md,GC020,1,188
GC020::c002,GC020_c002.md,GC020,2,336
GC020::c003,GC020_c003.md,GC020,3,264
GC020::c004,GC020_c004.md,GC020,4,285
GC020::c005,GC020_c005.md,GC020,5,319
GC020::c006,GC020_c006.md,GC020,6,311
GC021::c000,GC021_c000.md,GC021,0,312
GC021::c001,GC021_c001.md,GC021,1,350
GC021::c002,GC021_c002.md,GC021,2,350
GC021::c003,GC021_c003.md,GC021,3,393
GC021::c004,GC021_c004.md,GC021,4,258
GC021::c005,GC021_c005.md,GC021,5,348
GC021::c006,GC021_c006.md,GC021,6,325
GC021::c007,GC021_c007.md,GC021,7,331
GC021::c008,GC021_c008.md,GC021,8,358
GC021::c009,GC021_c009.md,GC021,9,387
GC021::c010,GC021_c010.md,GC021,10,290
GC021::c011,GC021_c011.md,GC021,11,220
GC021::c012,GC021_c012.md,GC021,12,241
GC021::c013,GC021_c013.md,GC021,13,358
GC021::c014,GC021_c014.md,GC021,14,274
GC021::c015,GC021_c015.md,GC021,15,396
GC021::c016,GC021_c016.md,GC021,16,346
GC021::c017,GC021_c017.md,GC021,17,314
GC021::c018,GC021_c018.md,GC021,18,339
GC021::c019,GC021_c019.md,GC021,19,352
GC021::c020,GC021_c020.md,GC021,20,390
GC021::c021,GC021_c021.md,GC021,21,371
GC021::c022,GC021_c022.md,GC021,22,370
GC021::c023,GC021_c023.md,GC021,23,399
GC021::c024,GC021_c024.md,GC021,24,398
GC021::c025,GC021_c025.md,GC021,25,371
GC021::c026,GC021_c026.md,GC021,26,253
GC021::c027,GC021_c027.md,GC021,27,369
GC021::c028,GC021_c028.md,GC021,28,305
GC021::c029,GC021_c029.md,GC021,29,359
GC021::c030,GC021_c030.md,GC021,30,384
GC021::c031,GC021_c031.md,GC021,31,384
GC021::c032,GC021_c032.md,GC021,32,366
GC021::c033,GC021_c033.md,GC021,33,371
GC021::c034,GC021_c034.md,GC021,34,266
GC021::c035,GC021_c035.md,GC021,35,284
GC021::c036,GC021_c036.md,GC021,36,387
GC021::c037,GC021_c037.md,GC021,37,283
GC021::c038,GC021_c038.md,GC021,38,363
GC021::c039,GC021_c039.md,GC021,39,384
GC021::c040,GC021_c040.md,GC021,40,387
GC021::c041,GC021_c041.md,GC021,41,394
GC021::c042,GC021_c042.md,GC021,42,292
GC021::c043,GC021_c043.md,GC021,43,347
GC021::c044,GC021_c044.md,GC021,44,390
GC021::c045,GC021_c045.md,GC021,45,335
GC021::c046,GC021_c046.md,GC021,46,299
GC021::c047,GC021_c047.md,GC021,47,318
GC021::c048,GC021_c048.md,GC021,48,386
GC021::c049,GC021_c049.md,GC021,49,317
GC021::c050,GC021_c050.md,GC021,50,324
GC021::c051,GC021_c051.md,GC021,51,337
GC021::c052,GC021_c052.md,GC021,52,269
GC021::c053,GC021_c053.md,GC021,53,341
GC021::c054,GC021_c054.md,GC021,54,319
GC021::c055,GC021_c055.md,GC021,55,386
GC021::c056,GC021_c056.md,GC021,56,397
GC021::c057,GC021_c057.md,GC021,57,326
GC021::c058,GC021_c058.md,GC021,58,285
GC021::c059,GC021_c059.md,GC021,59,351
GC021::c060,GC021_c060.md,GC021,60,327
GC021::c061,GC021_c061.md,GC021,61,399
GC022::c000,GC022_c000.md,GC022,0,369
GC022::c001,GC022_c001.md,GC022,1,251
GC022::c002,GC022_c002.md,GC022,2,362
GC022::c003,GC022_c003.md,GC022,3,352
GC022::c004,GC022_c004.md,GC022,4,349
GC022::c005,GC022_c005.md,GC022,5,341
GC022::c006,GC022_c006.md,GC022,6,314
GC022::c007,GC022_c007.md,GC022,7,397
GC022::c008,GC022_c008.md,GC022,8,343
GC022::c009,GC022_c009.md,GC022,9,340
GC022::c010,GC022_c010.md,GC022,10,385
GC022::c011,GC022_c011.md,GC022,11,268
GC022::c012,GC022_c012.md,GC022,12,276
GC022::c013,GC022_c013.md,GC022,13,357
GC022::c014,GC022_c014.md,GC022,14,398
GC022::c015,GC022_c015.md,GC022,15,371
GC022::c016,GC022_c016.md,GC022,16,314
GC022::c017,GC022_c017.md,GC022,17,239
GC022::c018,GC022_c018.md,GC022,18,378
GC022::c019,GC022_c019.md,GC022,19,370
GC022::c020,GC022_c020.md,GC022,20,256
GC022::c021,GC022_c021.md,GC022,21,331
GC022::c022,GC022_c022.md,GC022,22,308
GC022::c023,GC022_c023.md,GC022,23,355
GC022::c024,GC022_c024.md,GC022,24,322
GC022::c025,GC022_c025.md,GC022,25,373
GC022::c026,GC022_c026.md,GC022,26,373
GC022::c027,GC022_c027.md,GC022,27,68
GC022::c028,GC022_c028.md,GC022,28,397
GC022::c029,GC022_c029.md,GC022,29,361
GC022::c030,GC022_c030.md,GC022,30,366
GC022::c031,GC022_c031.md,GC022,31,358
GC022::c032,GC022_c032.md,GC022,32,361
GC022::c033,GC022_c033.md,GC022,33,366
GC022::c034,GC022_c034.md,GC022,34,329
GC022::c035,GC022_c035.md,GC022,35,390
GC022::c036,GC022_c036.md,GC022,36,312
GC022::c037,GC022_c037.md,GC022,37,309
GC022::c038,GC022_c038.md,GC022,38,280
GC022::c039,GC022_c039.md,GC022,39,252
GC022::c040,GC022_c040.md,GC022,40,391
GC022::c041,GC022_c041.md,GC022,41,225
GC022::c042,GC022_c042.md,GC022,42,388
GC022::c043,GC022_c043.md,GC022,43,362
GC022::c044,GC022_c044.md,GC022,44,333
GC022::c045,GC022_c045.md,GC022,45,295
GC022::c046,GC022_c046.md,GC022,46,338
GC022::c047,GC022_c047.md,GC022,47,318
GC022::c048,GC022_c048.md,GC022,48,354
GC022::c049,GC022_c049.md,GC022,49,275
GC023::c000,GC023_c000.md,GC023,0,377
GC023::c001,GC023_c001.md,GC023,1,285
GC023::c002,GC023_c002.md,GC023,2,398
GC023::c003,GC023_c003.md,GC023,3,313
GC023::c004,GC023_c004.md,GC023,4,312
GC023::c005,GC023_c005.md,GC023,5,383
GC023::c006,GC023_c006.md,GC023,6,356
GC023::c007,GC023_c007.md,GC023,7,287
GC023::c008,GC023_c008.md,GC023,8,384
GC023::c009,GC023_c009.md,GC023,9,384
GC023::c010,GC023_c010.md,GC023,10,307
GC023::c011,GC023_c011.md,GC023,11,312
GC023::c012,GC023_c012.md,GC023,12,329
GC023::c013,GC023_c013.md,GC023,13,352
GC023::c014,GC023_c014.md,GC023,14,345
GC023::c015,GC023_c015.md,GC023,15,318
GC023::c016,GC023_c016.md,GC023,16,326
GC023::c017,GC023_c017.md,GC023,17,318
GC023::c018,GC023_c018.md,GC023,18,353
GC023::c019,GC023_c019.md,GC023,19,336
GC023::c020,GC023_c020.md,GC023,20,294
GC023::c021,GC023_c021.md,GC023,21,362
GC023::c022,GC023_c022.md,GC023,22,394
GC023::c023,GC023_c023.md,GC023,23,376
GC023::c024,GC023_c024.md,GC023,24,266
GC023::c025,GC023_c025.md,GC023,25,393
GC023::c026,GC023_c026.md,GC023,26,311
GC023::c027,GC023_c027.md,GC023,27,378
GC023::c028,GC023_c028.md,GC023,28,334
GC023::c029,GC023_c029.md,GC023,29,274
GC023::c030,GC023_c030.md,GC023,30,363
GC023::c031,GC023_c031.md,GC023,31,355
GC023::c032,GC023_c032.md,GC023,32,383
GC023::c033,GC023_c033.md,GC023,33,221
GC023::c034,GC023_c034.md,GC023,34,354
GC023::c035,GC023_c035.md,GC023,35,385
GC023::c036,GC023_c036.md,GC023,36,265
GC023::c037,GC023_c037.md,GC023,37,369
GC023::c038,GC023_c038.md,GC023,38,377
GC023::c039,GC023_c039.md,GC023,39,314
GC023::c040,GC023_c040.md,GC023,40,333
GC023::c041,GC023_c041.md,GC023,41,355
GC023::c042,GC023_c042.md,GC023,42,305
GC023::c043,GC023_c043.md,GC023,43,398
GC023::c044,GC023_c044.md,GC023,44,295
GC023::c045,GC023_c045.md,GC023,45,264
GC023::c046,GC023_c046.md,GC023,46,388
GC023::c047,GC023_c047.md,GC023,47,306
GC023::c048,GC023_c048.md,GC023,48,320
GC023::c049,GC023_c049.md,GC023,49,362
GC023::c050,GC023_c050.md,GC023,50,388
GC023::c051,GC023_c051.md,GC023,51,297
GC023::c052,GC023_c052.md,GC023,52,354
GC023::c053,GC023_c053.md,GC023,53,268
GC023::c054,GC023_c054.md,GC023,54,354
GC023::c055,GC023_c055.md,GC023,55,292
GC023::c056,GC023_c056.md,GC023,56,378
GC023::c057,GC023_c057.md,GC023,57,344
GC023::c058,GC023_c058.md,GC023,58,364
GC023::c059,GC023_c059.md,GC023,59,232
GC023::c060,GC023_c060.md,GC023,60,199
GC023::c061,GC023_c061.md,GC023,61,317
GC023::c062,GC023_c062.md,GC023,62,313
GC023::c063,GC023_c063.md,GC023,63,288
GC023::c064,GC023_c064.md,GC023,64,280
GC023::c065,GC023_c065.md,GC023,65,326
GC023::c066,GC023_c066.md,GC023,66,390
GC023::c067,GC023_c067.md,GC023,67,362
GC023::c068,GC023_c068.md,GC023,68,398
GC023::c069,GC023_c069.md,GC023,69,386
GC023::c070,GC023_c070.md,GC023,70,276
GC023::c071,GC023_c071.md,GC023,71,300
GC023::c072,GC023_c072.md,GC023,72,152
GC023::c073,GC023_c073.md,GC023,73,264
GC023::c074,GC023_c074.md,GC023,74,342
GC023::c075,GC023_c075.md,GC023,75,282
GC023::c076,GC023_c076.md,GC023,76,313
GC023::c077,GC023_c077.md,GC023,77,346
GC024::c000,GC024_c000.md,GC024,0,350
GC024::c001,GC024_c001.md,GC024,1,309
GC024::c002,GC024_c002.md,GC024,2,379
GC024::c003,GC024_c003.md,GC024,3,349
GC024::c004,GC024_c004.md,GC024,4,340
GC024::c005,GC024_c005.md,GC024,5,386
GC024::c006,GC024_c006.md,GC024,6,303
GC024::c007,GC024_c007.md,GC024,7,384
GC024::c008,GC024_c008.md,GC024,8,397
GC024::c009,GC024_c009.md,GC024,9,371
GC024::c010,GC024_c010.md,GC024,10,329
GC024::c011,GC024_c011.md,GC024,11,357
GC024::c012,GC024_c012.md,GC024,12,344
GC024::c013,GC024_c013.md,GC024,13,396
GC024::c014,GC024_c014.md,GC024,14,397
GC024::c015,GC024_c015.md,GC024,15,308
GC024::c016,GC024_c016.md,GC024,16,392
GC024::c017,GC024_c017.md,GC024,17,294
GC024::c018,GC024_c018.md,GC024,18,383
GC024::c019,GC024_c019.md,GC024,19,330
GC024::c020,GC024_c020.md,GC024,20,345
GC024::c021,GC024_c021.md,GC024,21,382
GC024::c022,GC024_c022.md,GC024,22,395
GC024::c023,GC024_c023.md,GC024,23,333
GC024::c024,GC024_c024.md,GC024,24,397
GC024::c025,GC024_c025.md,GC024,25,351
GC024::c026,GC024_c026.md,GC024,26,269
GC024::c027,GC024_c027.md,GC024,27,355
GC024::c028,GC024_c028.md,GC024,28,352
GC024::c029,GC024_c029.md,GC024,29,305
GC024::c030,GC024_c030.md,GC024,30,345
GC024::c031,GC024_c031.md,GC024,31,282
GC024::c032,GC024_c032.md,GC024,32,382
GC024::c033,GC024_c033.md,GC024,33,201
GC024::c034,GC024_c034.md,GC024,34,290
GC024::c035,GC024_c035.md,GC024,35,307
GC024::c036,GC024_c036.md,GC024,36,351
GC024::c037,GC024_c037.md,GC024,37,340
GC024::c038,GC024_c038.md,GC024,38,282
GC024::c039,GC024_c039.md,GC024,39,338
GC024::c040,GC024_c040.md,GC024,40,397
GC024::c041,GC024_c041.md,GC024,41,354
GC024::c042,GC024_c042.md,GC024,42,333
GC024::c043,GC024_c043.md,GC024,43,243
GC024::c044,GC024_c044.md,GC024,44,315
GC024::c045,GC024_c045.md,GC024,45,287
GC024::c046,GC024_c046.md,GC024,46,279
GC024::c047,GC024_c047.md,GC024,47,349
GC024::c048,GC024_c048.md,GC024,48,351
GC024::c049,GC024_c049.md,GC024,49,240
GC024::c050,GC024_c050.md,GC024,50,395
GC024::c051,GC024_c051.md,GC024,51,323
GC024::c052,GC024_c052.md,GC024,52,238
GC024::c053,GC024_c053.md,GC024,53,352
GC024::c054,GC024_c054.md,GC024,54,378
GC024::c055,GC024_c055.md,GC024,55,386
GC024::c056,GC024_c056.md,GC024,56,351
GC024::c057,GC024_c057.md,GC024,57,394
GC024::c058,GC024_c058.md,GC024,58,348
GC024::c059,GC024_c059.md,GC024,59,344
GC024::c060,GC024_c060.md,GC024,60,311
GC024::c061,GC024_c061.md,GC024,61,328
GC024::c062,GC024_c062.md,GC024,62,371
GC024::c063,GC024_c063.md,GC024,63,62
GC025::c000,GC025_c000.md,GC025,0,252
GC025::c001,GC025_c001.md,GC025,1,308
GC025::c002,GC025_c002.md,GC025,2,350
GC025::c003,GC025_c003.md,GC025,3,293
GC025::c004,GC025_c004.md,GC025,4,373
GC025::c005,GC025_c005.md,GC025,5,374
GC025::c006,GC025_c006.md,GC025,6,293
GC025::c007,GC025_c007.md,GC025,7,396
GC025::c008,GC025_c008.md,GC025,8,374
GC025::c009,GC025_c009.md,GC025,9,376
GC025::c010,GC025_c010.md,GC025,10,191
GC025::c011,GC025_c011.md,GC025,11,305
GC025::c012,GC025_c012.md,GC025,12,362
GC025::c013,GC025_c013.md,GC025,13,311
GC025::c014,GC025_c014.md,GC025,14,342
GC025::c015,GC025_c015.md,GC025,15,256
GC025::c016,GC025_c016.md,GC025,16,351
GC025::c017,GC025_c017.md,GC025,17,376
GC025::c018,GC025_c018.md,GC025,18,354
GC025::c019,GC025_c019.md,GC025,19,398
GC025::c020,GC025_c020.md,GC025,20,91
GC026::c000,GC026_c000.md,GC026,0,289
GC026::c001,GC026_c001.md,GC026,1,349
GC026::c002,GC026_c002.md,GC026,2,347
GC026::c003,GC026_c003.md,GC026,3,392
GC026::c004,GC026_c004.md,GC026,4,369
GC026::c005,GC026_c005.md,GC026,5,332
GC026::c006,GC026_c006.md,GC026,6,381
GC026::c007,GC026_c007.md,GC026,7,314
GC026::c008,GC026_c008.md,GC026,8,316
GC026::c009,GC026_c009.md,GC026,9,331
GC026::c010,GC026_c010.md,GC026,10,393
GC026::c011,GC026_c011.md,GC026,11,329
GC026::c012,GC026_c012.md,GC026,12,350
GC026::c013,GC026_c013.md,GC026,13,385
GC026::c014,GC026_c014.md,GC026,14,372
GC026::c015,GC026_c015.md,GC026,15,377
GC026::c016,GC026_c016.md,GC026,16,367
GC026::c017,GC026_c017.md,GC026,17,265
GC026::c018,GC026_c018.md,GC026,18,394
GC026::c019,GC026_c019.md,GC026,19,286
GC026::c020,GC026_c020.md,GC026,20,254
GC026::c021,GC026_c021.md,GC026,21,217
GC026::c022,GC026_c022.md,GC026,22,339
GC026::c023,GC026_c023.md,GC026,23,203
GC026::c024,GC026_c024.md,GC026,24,393
GC026::c025,GC026_c025.md,GC026,25,345
GC026::c026,GC026_c026.md,GC026,26,379
GC026::c027,GC026_c027.md,GC026,27,342
GC026::c028,GC026_c028.md,GC026,28,356
GC026::c029,GC026_c029.md,GC026,29,289
GC026::c030,GC026_c030.md,GC026,30,232
GC026::c031,GC026_c031.md,GC026,31,304
GC026::c032,GC026_c032.md,GC026,32,292
GC026::c033,GC026_c033.md,GC026,33,285
GC026::c034,GC026_c034.md,GC026,34,385
GC026::c035,GC026_c035.md,GC026,35,392
GC026::c036,GC026_c036.md,GC026,36,214
GC026::c037,GC026_c037.md,GC026,37,334
GC026::c038,GC026_c038.md,GC026,38,338
GC026::c039,GC026_c039.md,GC026,39,355
GC026::c040,GC026_c040.md,GC026,40,364
GC026::c041,GC026_c041.md,GC026,41,329
GC026::c042,GC026_c042.md,GC026,42,281
GC027::c000,GC027_c000.md,GC027,0,331
GC027::c001,GC027_c001.md,GC027,1,365
GC027::c002,GC027_c002.md,GC027,2,353
GC027::c003,GC027_c003.md,GC027,3,211
GC027::c004,GC027_c004.md,GC027,4,384
GC027::c005,GC027_c005.md,GC027,5,352
GC027::c006,GC027_c006.md,GC027,6,262
GC027::c007,GC027_c007.md,GC027,7,351
GC027::c008,GC027_c008.md,GC027,8,332
GC027::c009,GC027_c009.md,GC027,9,332
GC027::c010,GC027_c010.md,GC027,10,349
GC027::c011,GC027_c011.md,GC027,11,288
GC027::c012,GC027_c012.md,GC027,12,358
GC027::c013,GC027_c013.md,GC027,13,302
GC027::c014,GC027_c014.md,GC027,14,281
